page_num,page_url,viewer_url,title,status
42,https://www.yiqifuwu.com/standard/42.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200426/1587862774261854.pdf,GB/T 18809-2019 空气离子测量仪通用规范,success
43,https://www.yiqifuwu.com/standard/43.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200428/1588048823505118.pdf,GB/T 11464-2013 电子测量仪器术语,success
44,https://www.yiqifuwu.com/standard/44.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200502/1588401772434142.pdf,GB/T 14295-2019 空气过滤器,success
45,https://www.yiqifuwu.com/standard/45.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200502/1588402129750354.pdf,GB/T 38244-2019 机器人安全总则,success
46,https://www.yiqifuwu.com/standard/46.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200510/1589074027809069.pdf,GB/T 16821-2007 通信电源设备通用试验方法,success
47,https://www.yiqifuwu.com/standard/47.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200516/1589625230344404.pdf,GB/T 12113-2003 接触电流和保护导体电流的测量方法，已被GB/T 12113-2003 替代,success
48,https://www.yiqifuwu.com/standard/48.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200520/1589985532587133.pdf,GB 18384-2020 电动汽车安全要求,success
49,https://www.yiqifuwu.com/standard/49.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200521/1590041621600956.pdf,JB/T10930-2010 200级耐电晕漆包铜圆线,success
50,https://www.yiqifuwu.com/standard/50.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200521/1590068835421488.pdf,GB/T 21707-2018变频调速专用三相异步电动机绝缘规范,success
51,https://www.yiqifuwu.com/standard/51.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200528/1590676348578015.pdf,GB 9706.1-2020医用电气设备　第1部分：基本安全和基本性能的通用要求,success
52,https://www.yiqifuwu.com/standard/52.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200529/1590711879588259.pdf,SN/T 1667.3-2007进出口机电产品检测方法 第３部分：家用电器待机功率的测量,success
53,https://www.yiqifuwu.com/standard/53.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200530/1590818089937037.pdf,GB∕T 1408.1-2016 绝缘材料 电气强度试验方法 第1部分：工频下试验,success
54,https://www.yiqifuwu.com/standard/54.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200530/1590819344965237.pdf,GB/T 31838.1-2015固体绝缘材料介电和电阻特性第1部分总则,success
55,https://www.yiqifuwu.com/standard/55.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200530/1590826786816628.pdf,GB/T 4754-2017国民经济行业分类,success
56,https://www.yiqifuwu.com/standard/56.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200609/1591675787203023.pdf,GB 7000.214-2015 灯具 第2-14部分：特殊要求 使用冷阴极管形放电灯（霓虹灯）和类似设备的灯具,success
57,https://www.yiqifuwu.com/standard/57.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200621/1592730691249718.pdf,GB/T 38728-2020 智能手表的术语、定义和分类,success
58,https://www.yiqifuwu.com/standard/58.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200624/1592991082382757.pdf,GB 4706.15-2008家用和类似用途电器的安全　皮肤及毛发护理器具的特殊要求,success
59,https://www.yiqifuwu.com/standard/59.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200701/1593565621502755.pdf,GB/T 12560-1990 半导体器件 分立器件分规范 (可供认证用),success
60,https://www.yiqifuwu.com/standard/60.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200701/1593598895446275.pdf,GB/T 4023-2015 半导体器件 分立器件和集成电路 第2部分：整流二极管,success
61,https://www.yiqifuwu.com/standard/61.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200701/1593609910628930.pdf,GB/T 15291-2015 半导体器件　第6部分：晶闸管,success
62,https://www.yiqifuwu.com/standard/62.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200701/1593610487258065.pdf,GB/T 38775.3-2020 电动汽车无线充电系统 第3部分：特殊要求,success
63,https://www.yiqifuwu.com/standard/63.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200701/1593611174352538.pdf,GB/T 38775.1-2020 电动汽车无线充电系统 第1部分：通用要求,success
64,https://www.yiqifuwu.com/standard/64.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200702/1593646374756179.pdf,GB/T 1984-2014 交流高压断路器,success
65,https://www.yiqifuwu.com/standard/65.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200702/1593648257378219.pdf,GB/T 16916.1-2014 家用和类似用途的不带过电流保护的剩余电流动作断路器(RCCB)　第1部分：一般规则,success
66,https://www.yiqifuwu.com/standard/66.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200707/1594078389671573.pdf,GB/T 36362-2018 LED应用产品可靠性试验的点估计和区间估计(指数分布),success
67,https://www.yiqifuwu.com/standard/67.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200707/1594078850725209.pdf,GB/T 11349.1-2018 机械振动与冲击 机械导纳的试验确定 第1部分：基本术语与定义、传感器特性,success
68,https://www.yiqifuwu.com/standard/68.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200714/1594721942561959.pdf,GB/T 1539-2007纸板　耐破度的测定,success
69,https://www.yiqifuwu.com/standard/69.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200714/1594722143255335.pdf,GB/T 6548-2011瓦楞纸板粘合强度的测定,success
70,https://www.yiqifuwu.com/standard/70.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200714/1594722440339371.pdf,GB/T 6546-1998瓦楞纸板边压强度的测定法,success
71,https://www.yiqifuwu.com/standard/71.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200717/1594945640795220.pdf,GB/T 462-2008 纸、纸板和纸浆 分析试样水分的测定,success
72,https://www.yiqifuwu.com/standard/72.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200717/1594946210274923.pdf,GB/T 14710-2009 医用电器环境要求及试验方法,success
73,https://www.yiqifuwu.com/standard/73.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200724/1595549907690998.pdf,GB/T 2900.91-2015 电工术语 量和单位,success
74,https://www.yiqifuwu.com/standard/74.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200727/1595856791983219.pdf,GB/T 31475-2015 电子装联高质量内部互连用焊锡膏,success
75,https://www.yiqifuwu.com/standard/75.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200727/1595857371275317.pdf,JJG 1162-2019 医用电子体温计检定规程,success
76,https://www.yiqifuwu.com/standard/76.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200728/1595894091115034.pdf,GB/T 1981.1-2007 电气绝缘用漆 第1部分：定义和一般要求,success
77,https://www.yiqifuwu.com/standard/77.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200728/1595944906711636.pdf,GB/T5206-2015色漆和清漆术语和定义,success
78,https://www.yiqifuwu.com/standard/78.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200801/1596277992137445.pdf,GB/T 34870.1-2017 超级电容器 第1部分：总则,success
79,https://www.yiqifuwu.com/standard/79.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200801/1596279771568766.pdf,GB/T 28816-2020 燃料电池 术语,success
80,https://www.yiqifuwu.com/standard/80.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200802/1596373921442531.pdf,GB 18613-2020 电动机能效限定值及能效等级,success
81,https://www.yiqifuwu.com/standard/81.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200802/1596377796934124.pdf,GB/T 36640-2018 固体继电器,success
82,https://www.yiqifuwu.com/standard/82.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200802/1596376513879467.pdf,GB/T 21711.1-2008 基础机电继电器 第1部分：总则与安全要求,success
83,https://www.yiqifuwu.com/standard/83.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200802/1596377050727891.pdf,GB/T 7261-2016 继电保护和安全自动装置基本试验方法,success
84,https://www.yiqifuwu.com/standard/84.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200802/1596377425395006.pdf,GB 20052-2020 电力变压器能效限定值及能效等级,success
85,https://www.yiqifuwu.com/standard/85.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200802/1596377886109791.pdf,GB/T 14598.27-2017 量度继电器和保护装置 第27部分：产品安全要求,success
86,https://www.yiqifuwu.com/standard/86.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200802/1596378680675546.pdf,GB 19761-2020 通风机能效限定值及能效等级,success
87,https://www.yiqifuwu.com/standard/87.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200802/1596378834558358.pdf,GB/T 38796-2020 汽车爆胎应急安全装置性能要求和试验方法,success
88,https://www.yiqifuwu.com/standard/88.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200802/1596379507259361.pdf,GB/T 14598.2-2011 量度继电器和保护装置 第1部分：通用要求,success
89,https://www.yiqifuwu.com/standard/89.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200802/1596379975455897.pdf,GBT1032-2012三相异步电动机试验方法,success
90,https://www.yiqifuwu.com/standard/90.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20240224/1708779017779192.pdf,GB/T 5171.1-2014 小功率电动机 第1部分通用技术条件,success
91,https://www.yiqifuwu.com/standard/91.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200811/1597139362837961.pdf,GB/T 2423.3-2016 电工电子产品基本环境试验规程 试验Ca-恒定湿热试验方法,success
92,https://www.yiqifuwu.com/standard/92.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200829/1598662284705304.pdf,GB/T 24122-2009 耐电晕漆包线用漆,success
93,https://www.yiqifuwu.com/standard/93.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200829/1598662641736065.pdf,GB/T 21041-2007 电子设备用固定电容器 第21部分 分规范 表面安装用1类多层瓷介固定电容器,success
94,https://www.yiqifuwu.com/standard/94.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200829/1598663140797784.pdf,GB/T 17702-2013电力电子电容器,success
95,https://www.yiqifuwu.com/standard/95.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200829/1598663650538902.pdf,GB/T 10587-2006 盐雾试验箱技术条件,success
96,https://www.yiqifuwu.com/standard/96.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200902/1599036255396790.pdf,GB 4343.1-2018 家用电器、电动工具和类似器具的电磁兼容要求 第1部分：发射,success
97,https://www.yiqifuwu.com/standard/97.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200902/1599042809893883.pdf,GB/T 6113.203-2016 无线电骚扰和抗扰度测量设备和测量方法规范 第2-3部分：无线电骚扰和抗扰度测量方法 辐射骚扰测量-,success
98,https://www.yiqifuwu.com/standard/98.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200908/1599575277985830.pdf,GB/T 2423.24-2013 环境试验 第2部分试验方法 试验Sa模拟地面上的太阳辐射及其试验导则,success
99,https://www.yiqifuwu.com/standard/99.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200908/1599577228192913.pdf,GB/T 2421-2020 环境试验 概述和指南,success
100,https://www.yiqifuwu.com/standard/100.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20201013/1602582148461807.pdf,JJF 1830-2020 软磁材料直流磁特性测量仪校准规范,success
101,https://www.yiqifuwu.com/standard/101.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20201018/1603029617606656.pdf,GB/T 38880-2020 儿童口罩技术规范,success
